year,month,date,t2m_c_mean,t2m_c_daily_min_mean,t2m_c_daily_max_mean
1985,10,1985-10,18.3418198374722,8.09775602552628,30.201996188693556
1985,11,1985-11,18.928495538970594,7.727442762586804,30.41399230957029
1985,12,1985-12,18.782940952752256,10.55907457139756,29.246451229519323
1986,1,1986-01,19.915594249529363,11.378912353515602,29.425449286566845
1986,2,1986-02,18.66784511899192,10.691087171766526,26.77083519829648
1986,3,1986-03,18.123414707069855,7.379713270399293,27.34430202907987
1986,4,1986-04,15.836097642875018,6.9910506354437985,24.711989339192712
1986,5,1986-05,13.831287580009302,3.8622160169813355,22.74551094902887
1986,6,1986-06,9.229632280137821,-0.3917597452799555,21.132419840494833
1986,7,1986-07,9.80647431832773,-1.8937303331163093,20.44532174004445
1986,8,1986-08,13.12861954975017,0.6586042616102645,25.1976609971789
1986,9,1986-09,15.015692645885338,3.2787758721245837,26.290082465277806
1986,10,1986-10,15.986406249726542,2.904843817816868,27.40812717013887
1986,11,1986-11,16.654278188634805,4.424102528889989,26.48479376898871
1986,12,1986-12,18.962898004183216,8.833049858940967,27.762389543321433
1987,1,1987-01,19.671587873160377,12.55968594021266,28.583880276150182
1987,2,1987-02,20.841283701841178,12.636492580837682,28.235495673285584
1987,3,1987-03,18.32261285451432,9.533807712131079,27.5199130588108
1987,4,1987-04,17.23204185627128,6.237155829535595,27.143953789605064
1987,5,1987-05,14.339533351228226,3.8779151068794135,24.04169820149741
1987,6,1987-06,8.61608542171524,-2.284218682183166,20.002187432183177
1987,7,1987-07,8.927392774556836,-2.5315730624728303,19.737461683485265
1987,8,1987-08,10.921017391792816,0.19557215372725523,23.714446343315956
1987,9,1987-09,13.875418088936499,1.8784501817491446,26.223095024956592
1987,10,1987-10,15.869757982023884,4.209693400065078,27.72126159667971
1987,11,1987-11,18.640692385449825,10.820209248860635,28.293983629014747
1987,12,1987-12,19.765127272702784,11.40838623046875,27.96088528103303
1988,1,1988-01,20.308269615127756,11.263565741644982,29.687520853678393
1988,2,1988-02,19.502065149943064,13.753527153862876,29.402368842230942
1988,3,1988-03,18.501819001702586,11.069475640190944,25.45355190700957
1988,4,1988-04,14.494886211348216,2.004735649956615,24.15949096679691
1988,5,1988-05,12.046962935836234,-0.9491214328341471,21.708428615993967
1988,6,1988-06,8.485869866359394,-2.320828247070324,21.14887695312501
1988,7,1988-07,9.509251994471413,-1.374386003282325,20.052846611870734
1988,8,1988-08,12.892141121120346,0.6629085964626711,25.65283338758684
1988,9,1988-09,14.949356267481676,1.188224283854197,28.010223049587694
1988,10,1988-10,16.105004436169338,5.523253462049752,28.228586493598073
1988,11,1988-11,17.242102623927735,5.551541137695267,27.0153954399957
1988,12,1988-12,17.512687181315528,8.984697469075513,27.27761366102436
1989,1,1989-01,18.099154315342332,10.407817247178798,25.246819051106797
1989,2,1989-02,17.200475180086016,10.771039835611987,26.48322753906251
1989,3,1989-03,17.488555469763583,5.908541531032995,26.96728074815536
1989,4,1989-04,13.950390648076564,4.465262858072947,23.081994967990454
1989,5,1989-05,12.450159271586585,2.9324388292100707,21.711756896972645
1989,6,1989-06,8.946075540236507,-2.6153564453125,19.805510118272593
1989,7,1989-07,8.778623996128488,-1.9869306776258782,21.46269836425779
1989,8,1989-08,13.418334351132842,-0.7742675781249773,25.15257839626736
1989,9,1989-09,15.000447602448673,-0.6934221055772127,28.925101386176266
1989,10,1989-10,16.62712323360836,5.359349399142843,29.252861107720264
1989,11,1989-11,16.91911972375567,7.669404941134985,29.959064059787295
1989,12,1989-12,19.016365572201323,10.789284261067735,28.53040551079647
1990,1,1990-01,19.479056106530948,9.841164567735461,27.97953923543298
1990,2,1990-02,18.083076151085947,9.205300564236097,27.146280246310766
1990,3,1990-03,17.71721825593977,9.912098693847668,26.096420288085938
1990,4,1990-04,15.312869396916142,5.2233707004123175,24.361603461371544
1990,5,1990-05,11.115700954405384,-0.43901367187498863,21.672697618272537
1990,6,1990-06,9.045491221863585,-2.3379340277778056,20.053991021050365
1990,7,1990-07,9.934717572575721,-3.2908484564887317,21.759123738606775
1990,8,1990-08,11.506872081414826,0.415440962049729,25.513751220703114
1990,9,1990-09,15.855254090391554,1.662808566623255,28.07300177680122
1990,10,1990-10,18.021125301238044,3.5657914903428605,29.236914401584215
1990,11,1990-11,20.12568124983045,7.820184326171898,31.658337741427943
1990,12,1990-12,20.481781473011665,11.59490966796875,30.288740878634997
1991,1,1991-01,20.075576569387408,9.466296386718795,28.67096659342451
1991,2,1991-02,19.384640664398376,9.781361558702258,27.775282796223962
1991,3,1991-03,17.53079771682218,8.716504923502612,27.9359090169271
1991,4,1991-04,14.941831936306414,2.7263281928168794,23.940338643391954
1991,5,1991-05,12.97621934861121,1.93739064534509,22.797155761718727
1991,6,1991-06,9.50588192880889,-1.0683183458116332,22.241264088948526
1991,7,1991-07,9.802770517091744,-2.1589617411295308,22.339383951822924
1991,8,1991-08,12.793353044516778,-0.14066204494901058,26.549815199110242
1991,9,1991-09,16.0177984703912,5.39960632324221,27.18354390462241
1991,10,1991-10,18.324417859422738,6.57862243652346,30.89659983317057
1991,11,1991-11,18.945179243676478,8.919952985975499,28.312633514404354
1991,12,1991-12,18.437739915745226,9.606185234917575,27.461362711588492
1992,1,1992-01,21.336079343387894,12.188711547851597,31.66621432834205
1992,2,1992-02,21.720543389545696,12.249952528211793,31.70726962619358
1992,3,1992-03,19.212386021676764,7.051287163628501,30.273836093478792
1992,4,1992-04,17.285752360026095,3.3478519015841925,27.34679904513888
1992,5,1992-05,12.970488174329148,1.2730224609375114,23.860110812716982
1992,6,1992-06,9.954640720037787,-2.5732160780164577,22.972017415364576
1992,7,1992-07,10.032696285726331,-1.5800303141276117,20.956707085503467
1992,8,1992-08,10.457193838140029,-2.2448401557074362,22.636644151475707
1992,9,1992-09,18.308860331876815,7.510295274522605,29.39118618435333
1992,10,1992-10,18.961169093598073,7.709481981065551,31.03608025444879
1992,11,1992-11,17.60160538567436,6.016368611653604,28.643533664279516
1992,12,1992-12,20.501714170449134,11.41266852484813,31.52814059787329
1993,1,1993-01,21.159815058827803,9.187389119466161,32.00478990342879
1993,2,1993-02,18.73042161376395,10.914828830295164,26.4188418918186
1993,3,1993-03,17.535749089960007,9.530576917860287,25.91681043836809
1993,4,1993-04,15.129751415959106,3.66401604546445,24.789773559570335
1993,5,1993-05,13.477819641915403,1.3350828382704094,22.460346221923828
1993,6,1993-06,9.232331535433559,-2.1398851182725025,19.880618625216982
1993,7,1993-07,10.571158697841554,-0.15447455512156694,20.812651570638025
1993,8,1993-08,12.192107952851757,1.325614420572947,22.21155734592014
