year,month,n_granules,aod_550_mean,date
2016,5,45273,0.12273934442220849,2016-05-01
2016,6,43756,0.09218297028850415,2016-06-01
2016,7,45076,0.06599710120990412,2016-07-01
2016,8,45415,0.08275217155924576,2016-08-01
2016,9,44554,0.16706225562228907,2016-09-01
2016,10,45358,0.14216226437673307,2016-10-01
2016,11,41013,0.15730943057383676,2016-11-01
2016,12,40089,0.16479877651610805,2016-12-01
2017,1,41301,0.17689827039553124,2017-01-01
2017,2,39983,0.28291923021832216,2017-02-01
2017,3,46350,0.1350211165032644,2017-03-01
2017,4,43667,0.1328164847941784,2017-04-01
2017,5,45245,0.11420446588401466,2017-05-01
2017,6,43698,0.09109622274213913,2017-06-01
2017,7,45055,0.09669910244421669,2017-07-01
2017,8,45271,0.09927331758107583,2017-08-01
2017,9,44619,0.16152119979634721,2017-09-01
2017,10,45348,0.14110533223822197,2017-10-01
2017,11,40977,0.16547583091532284,2017-11-01
2017,12,40084,0.19645469194586368,2017-12-01
2018,1,41307,0.19509951368686101,2018-01-01
2018,2,40018,0.2407334930830181,2018-02-01
2018,3,46321,0.16943168869519076,2018-03-01
2018,4,44110,0.09787168272092997,2018-04-01
2018,5,45212,0.09768817529779683,2018-05-01
2018,6,43734,0.0881268883087976,2018-06-01
2018,7,45158,0.07823808611079146,2018-07-01
2018,8,45326,0.12303301104993723,2018-08-01
2018,9,44395,0.1682439242325287,2018-09-01
2018,10,45231,0.1636239254084672,2018-10-01
2018,11,40964,0.18216706283827702,2018-11-01
2018,12,40136,0.13582255388412218,2018-12-01
2019,1,41182,0.15679301121821979,2019-01-01
2019,2,39988,0.12223285698302343,2019-02-01
2019,3,46232,0.13483920585521317,2019-03-01
2019,4,44047,0.11798248674265296,2019-04-01
2019,5,45205,0.10586039009988031,2019-05-01
2019,6,43710,0.06549458481380296,2019-06-01
2019,7,45075,0.05575126851514406,2019-07-01
2019,8,45437,0.13549091982442008,2019-08-01
2019,9,44500,0.12567825608869465,2019-09-01
2019,10,45338,0.14507658329885328,2019-10-01
2019,11,41048,0.15856782369354527,2019-11-01
2019,12,40098,0.16025401850197382,2019-12-01
2020,1,41136,0.18108030550265997,2020-01-01
2020,2,41441,0.18998035080341152,2020-02-01
2020,3,46231,0.14442457238074258,2020-03-01
2020,4,44137,0.111978289640206,2020-04-01
2020,5,45283,0.08587027419963054,2020-05-01
2020,6,43741,0.09228427514485843,2020-06-01
2020,7,45107,0.08650091630094463,2020-07-01
2020,8,39359,0.08873205028465064,2020-08-01
2020,9,43660,0.16021657614672788,2020-09-01
2020,10,45197,0.16104888738079667,2020-10-01
2020,11,40417,0.16437814927691133,2020-11-01
2020,12,39511,0.19980189980433,2020-12-01
2021,1,40594,0.16380618072999106,2021-01-01
2021,2,39294,0.15089091378368855,2021-02-01
2021,3,44983,0.13231841681389,2021-03-01
2021,4,43310,0.1113658436133042,2021-04-01
2021,5,44556,0.08789915517613338,2021-05-01
2021,6,43062,0.0955354807290561,2021-06-01
2021,7,44273,0.07275659069901975,2021-07-01
2021,8,44755,0.1398179929776372,2021-08-01
2021,9,42608,0.15916483848090351,2021-09-01
2021,10,45336,0.13618647919486643,2021-10-01
2021,11,41028,0.14903108695619655,2021-11-01
2021,12,39954,0.17270742453561458,2021-12-01
2022,1,75070,0.14634486969422494,2022-01-01
2022,2,79836,0.17600748764629592,2022-02-01
2022,3,91349,0.17154632696996244,2022-03-01
2022,4,64206,0.10669321361064762,2022-04-01
2022,5,90066,0.10340010160294087,2022-05-01
