year,month,temperature_c_mean,temperature_c_median,temperature_c_q10,temperature_c_q90,min_value,max_value
2017,1,19.28100071659796,18.458510504828553,15.10871541341145,24.579637858072942,8.25824347601997,28.616428290473095
2017,2,18.9335527470503,18.308565097384985,14.778307223849884,24.016989067925355,12.678520372178866,26.043179660373255
2017,3,18.528481691968924,18.06465844048398,13.164547153049034,24.483797030978742,7.477258300781273,27.394902547200505
2017,4,15.974024367626816,15.800614251030822,9.606930847167968,21.83114271375872,5.6699228922526,27.819110785590283
2017,5,12.700837506530116,12.1199423895942,6.166906840006493,20.08395311143667,2.252654012044274,22.159573025173643
2017,6,11.24685938846919,10.505923292371987,4.955353766547336,18.626784905327693,-1.8863060845268933,22.27158135308156
2017,7,11.347243186649894,10.81677517361112,4.686353895399344,18.79679968939887,0.7770789252386976,22.330590481228285
2017,8,12.792622949288036,12.264753214518237,5.6837055121527955,20.808210415310352,1.1762898763020644,24.863318549262203
2017,9,18.20170316154575,17.595766364203598,10.796378682454412,26.951997375488297,4.9709903293185675,31.054725138346328
2017,10,16.947873597048243,16.289973280164958,10.339693671332476,24.92532413058811,3.184193250868077,29.683999633789085
2017,11,19.398663665394736,18.65896013047964,12.146272379557308,27.635788879394532,4.511324395073814,31.684238009982664
2017,12,19.635145203329483,18.931870863172747,14.09468410915798,26.20073143853086,10.563583034939256,30.483558485243066
2018,1,21.534261694831812,20.755838521321635,15.580108100043446,28.77167534722224,12.237470838758725,33.37262980143231
2018,2,19.297027979956745,18.526752048068573,15.063809611002617,24.635429314507423,11.131997002495666,27.897560628255235
2018,3,18.47305835691975,17.45104997422962,13.850288018120676,24.66794596354172,11.53320583767362,27.72833930121527
2018,4,15.894205373599217,15.258045789930575,10.82557820638026,21.513309088812925,7.362315877278661,23.993020968967016
2018,5,12.802495875751683,12.07695871988932,7.039851074218734,19.819318813747863,3.910998535156295,22.221163262261314
2018,6,10.429503935354742,9.60382741292318,4.072415059407552,17.97238552517366,-0.1385301378037979,21.391215684678855
2018,7,9.273451401084994,8.593926662868938,2.5243443806966126,16.649244316948806,-1.3122521294487228,21.43924696180557
2018,8,14.520364781861677,14.180368041992182,6.911021864149296,22.58002688937716,-0.1472412109375227,25.660245090060755
2018,9,17.79450096507133,17.46808709038632,9.085673149956609,27.25238054063588,0.86305711534294,31.72759060329861
2018,10,18.612146400807163,18.419833543565577,10.730897623697889,27.239938727484805,5.08210415310333,32.117887369791674
