year,month,pm25_mean,pm25_median,pm25_q10,pm25_q90,min_value,max_value
2019,3,55.951440813075855,35.54615610404163,13.629674817832,129.99886415890123,3.0084423157789457,279.9349155898549
2019,4,79.725804178003,45.760786339708545,16.761551305895985,201.35088115799027,3.267569599511962,413.3891549757279
2019,5,139.62822857101008,115.45116206635753,26.32928626575484,297.41659309715595,8.109448292368773,511.3665880484265
2019,6,147.9831401648012,102.85826262518712,27.58427126372873,334.7685004830334,4.290663687592874,826.2484243459766
2019,7,89.86476454661776,55.89403210356417,19.887075562398703,195.8231861793208,5.687909903756989,671.217514116926
2019,8,45.14496884997392,31.70905398082351,17.64945654241064,89.64234788996131,3.59844202298868,284.01470549747154
2019,9,48.2656930868784,31.50641313654799,14.572007211145232,107.146848029935,4.610493217973918,225.50983220963437
2019,10,27.055204468678262,20.019751395112124,9.814776065379778,53.756160357264754,2.517033368057206,166.1983289453089
2019,11,20.898228740055316,15.342177852936892,8.380210679239152,41.50207963959928,2.485740843929727,154.2018271021124
2019,12,17.52763239339109,13.135091732234644,6.685627876953286,33.02154055153149,3.051914413495419,106.08940433835065
2020,1,14.99852453763989,13.695172790689345,7.098356890312428,24.445196827444377,2.061442879645133,61.75147203836016
2020,2,18.3458070345241,16.853528453162006,5.721612623004874,31.97479255043426,1.879739218980402,67.15473715574333
2020,3,23.92656532682145,20.997449112769573,11.474494079685918,41.52981250517595,2.4934281135540024,80.80161032571945
2020,4,22.870217591206224,19.1579838489002,8.794014200602236,42.06604186352845,2.621264965769071,131.00937770524558
2020,5,33.39904986646394,28.578870552127434,13.976839542150488,60.19658962066808,2.442632557758246,134.27223585984814
2020,6,43.67020688349872,35.39203965794094,12.413732537634832,90.2609903400494,2.536121603323129,177.83542734133124
2020,7,34.7649953716355,28.812757513208,9.775299995103872,68.71141959681366,2.4017308654687386,148.48800534449623
2020,8,23.585600298816857,19.172767032124774,9.175326597644384,43.77139493254407,2.9895265750103412,113.78198485964766
2020,9,20.812318677439272,18.96245471755265,8.318802604033129,34.832344489097096,3.2149238485054896,115.02828119074157
2020,10,21.166896782931804,17.33447539355491,8.541089862718492,38.85334451434976,2.359162899222812,99.53779202585513
2020,11,20.126780520775757,15.827414251007736,8.702233651629417,36.22525810260849,2.7284884778894662,102.49082676567085
2020,12,21.326071528015568,16.348229675982722,7.6784094023178815,42.541057719238154,2.0373687010970363,121.1065796706652
2021,1,19.865818201128395,16.505827952292186,7.163941351251425,36.47278946553675,1.5327237940381948,114.06949996538827
2021,2,25.732271965667316,19.574001906509977,8.379868815949337,53.0181864906336,2.1745045764021143,125.80032605368476
2021,3,28.522084451004645,20.950734343964193,10.58230073142524,58.074342791113715,2.5875955053869317,130.51609270265683
2021,4,34.860931125150344,26.836557249947212,12.180944608530808,68.67619804805913,4.3845690155509285,133.87096122239828
2021,5,41.60051046723485,30.97620238944588,13.342970359367166,85.03601922445098,3.4876673173410104,199.4711912909854
